symbol,profile,lat_ms,signal_ts,fill_ts,close_ts,side,entry,signal_spread_bp,qsec_buy,qsec_sell,flow5s,markout1_bp,markout5_bp,gross_bp,fees_bp,net_bp,exit_mode
GALAUSDT,balanced,240,1787022623000,1787022624000,1787022644240,buy,0.001453,6.8799449604397385,0.7156356163190297,2.8150906280736265,-0.20369132782828347,-24.08809359945112,-37.85271851342105,-61.94081211287068,7.0,-68.94081211287067,MT
GALAUSDT,balanced,240,1787022644250,1787022644797,1787022665037,sell,0.001445,6.922810661129337,0.010751368926450707,0.49638855020759276,-0.5382954325514276,-10.38062283736862,-10.38062283736862,-48.44290657439338,7.0,-55.44290657439338,MT
GALAUSDT,balanced,240,1787022665250,1787022667801,1787022668830,buy,0.001451,6.889424733034212,0.3652557671963242,1.3821562584898806,0.7693560011972246,3.4458993797385693,31.013094417642638,6.891798759475643,4.0,2.891798759475643,MM
GALAUSDT,balanced,240,1787022669250,1787022671729,1787022691969,sell,0.001454,6.8799449604397385,1.4460606348482399,0.28502212197569615,-0.09098874263374014,-10.316368638239217,-17.193947730398197,-48.14305364511735,7.0,-55.14305364511735,MT
GALAUSDT,balanced,240,1787022692000,1787022694535,1787022714775,sell,0.001461,6.8469702156804715,13.692839127097269,2.5147364077525194,0.39254370024501756,-3.422313483915581,-10.266940451745258,-13.689253935660838,7.0,-20.689253935660837,MT
GALAUSDT,balanced,240,1787022715000,1787022716968,1787022737208,sell,0.001463,6.837606837607745,42.629229038836584,0.10344622281371485,-0.1439379890868456,-10.252904989746973,-3.417634996581336,-47.84688995215205,7.0,-54.84688995215205,MT
GALAUSDT,balanced,240,1787022741500,1787022743293,1787022752724,buy,0.001468,6.809669731018949,1.784046407055794,3.239034469537609,-0.32920463342565126,-10.217983651226039,-10.217983651226039,0.0,4.0,-4.0,MM
GALAUSDT,balanced,240,1787022752750,1787022755496,1787022775736,sell,0.001468,6.814310051106752,3.66289104925262,3.054673532108191,-0.5829750238968865,3.4059945504076947,-3.4059945504091718,-0.0,7.0,-7.0,MT
GALAUSDT,balanced,240,1787022778000,1787022781552,1787022782668,buy,0.001468,6.809669731018949,0.6771079511822825,3.5777359945564298,-0.4267076865414789,-10.217983651226039,-3.4059945504076947,-6.811989100816866,4.0,-10.811989100816866,MM
GALAUSDT,balanced,240,1787022782750,1787022783249,1787022783709,buy,0.001468,6.8050357264369925,0.10212945952579126,0.18291863726413105,-0.3269661597356716,-3.4059945504076947,-3.4059945504076947,-6.811989100816866,7.0,-13.811989100816866,MT
GALAUSDT,strict,240,1787022609500,1787022618888,1787022621807,buy,0.001455,6.870491240124581,0.2997116689597494,0.3202058767067139,0.615283942946804,-3.436426116837454,-10.309278350515342,0.0,4.0,-4.0,MM
GALAUSDT,strict,240,1787022623000,1787022624000,1787022644240,buy,0.001453,6.8799449604397385,0.7156356163190297,2.8150906280736265,-0.20369132782828347,-24.08809359945112,-37.85271851342105,-61.94081211287068,7.0,-68.94081211287067,MT
GALAUSDT,strict,240,1787022644250,1787022644797,1787022665037,sell,0.001445,6.922810661129337,0.010751368926450707,0.49638855020759276,-0.5382954325514276,-10.38062283736862,-10.38062283736862,-48.44290657439338,7.0,-55.44290657439338,MT
GALAUSDT,strict,240,1787022665250,1787022667801,1787022668830,buy,0.001451,6.889424733034212,0.3652557671963242,1.3821562584898806,0.7693560011972246,3.4458993797385693,31.013094417642638,6.891798759475643,4.0,2.891798759475643,MM
GALAUSDT,strict,240,1787022669250,1787022671729,1787022691969,sell,0.001454,6.8799449604397385,1.4460606348482399,0.28502212197569615,-0.09098874263374014,-10.316368638239217,-17.193947730398197,-48.14305364511735,7.0,-55.14305364511735,MT
GALAUSDT,strict,240,1787022705500,1787022706505,1787022711685,sell,0.001463,6.837606837607745,96.29310963604469,1.2228326170663417,-0.020019425531981445,-3.417634996581336,-3.417634996581336,-0.0,4.0,-4.0,MM
GALAUSDT,strict,240,1787022713750,1787022714225,1787022734465,sell,0.001463,6.837606837607745,50.99750829771322,0.44166075743635125,-0.06758880087019747,3.4176349965828186,-3.417634996581336,-34.176349965822254,7.0,-41.176349965822254,MT
GALAUSDT,strict,240,1787022742000,1787022743293,1787022752724,buy,0.001469,6.8050357264369925,0.8267225237581678,4.344165613369517,-0.2253688032402673,-17.01837985023904,-17.01837985023904,-6.807351940096207,4.0,-10.807351940096208,MM
GALAUSDT,strict,240,1787022755500,1787022760724,1787022773766,sell,0.001468,6.814310051106752,17.92092040187209,1.1227190699654612,-0.3681669160461813,-3.4059945504091718,3.4059945504076947,-0.0,4.0,-4.0,MM
GALAUSDT,strict,240,1787022780500,1787022781416,1787022782669,buy,0.001469,6.8050357264369925,1.5215752815978316,3.655241425410153,0.5228557169465139,-17.01837985023904,-10.211027910142832,-6.807351940096207,4.0,-10.807351940096208,MM
