symbol,lat_ms,profile,side,signal_ts,fill_ts,entry_px,spread_bp,flow5,mark1_bp,mark5_bp,mark15_bp,value1_bp,value5_bp,value15_bp
ROBOUSDT,240,all,buy,1787023304750,1787023305445,0.0134,7.459903021260419,-0.9368127837737849,-33.582089552238735,-33.582089552238735,-18.65671641791098,-35.582089552238735,-35.582089552238735,-20.65671641791098
ROBOUSDT,240,all,sell,1787023305250,1787023306039,0.01336,7.48783227255679,-0.9402971961399177,3.7425149700597276,3.7425149700597276,-11.227544910179184,1.7425149700597276,1.7425149700597276,-13.227544910179184
ROBOUSDT,240,all,sell,1787023314250,1787023315843,0.01336,7.48783227255679,0.0,-11.227544910179184,-11.227544910179184,-3.7425149700597276,-13.227544910179184,-13.227544910179184,-5.7425149700597276
ROBOUSDT,240,all,buy,1787023382500,1787023384297,0.01335,7.48783227255679,-0.9999999999999983,-11.235955056180616,-18.72659176030016,-26.21722846441971,-13.235955056180616,-20.72659176030016,-28.21722846441971
ROBOUSDT,240,protected,sell,1787023305250,1787023306039,0.01336,7.48783227255679,-0.9402971961399177,3.7425149700597276,3.7425149700597276,-11.227544910179184,1.7425149700597276,1.7425149700597276,-13.227544910179184
ROBOUSDT,240,protected,sell,1787023313500,1787023315843,0.01336,7.48783227255679,0.0,-11.227544910179184,-11.227544910179184,-3.7425149700597276,-13.227544910179184,-13.227544910179184,-5.7425149700597276
ROBOUSDT,240,neutral,sell,1787023313500,1787023315843,0.01336,7.48783227255679,0.0,-11.227544910179184,-11.227544910179184,-3.7425149700597276,-13.227544910179184,-13.227544910179184,-5.7425149700597276
APEUSDT,10,all,sell,1787023337500,1787023340110,0.1219,8.206811653671645,0.0,4.101722723543437,4.101722723543437,4.101722723543437,2.1017227235434373,2.1017227235434373,2.1017227235434373
APEUSDT,10,protected,sell,1787023337750,1787023340110,0.1219,8.206811653671645,0.0,4.101722723543437,4.101722723543437,4.101722723543437,2.1017227235434373,2.1017227235434373,2.1017227235434373
APEUSDT,10,neutral,sell,1787023337750,1787023340110,0.1219,8.206811653671645,0.0,4.101722723543437,4.101722723543437,4.101722723543437,2.1017227235434373,2.1017227235434373,2.1017227235434373
APEUSDT,240,all,sell,1787023337500,1787023340110,0.1219,8.206811653671645,0.0,4.101722723543437,4.101722723543437,4.101722723543437,2.1017227235434373,2.1017227235434373,2.1017227235434373
APEUSDT,240,protected,sell,1787023337750,1787023340110,0.1219,8.206811653671645,0.0,4.101722723543437,4.101722723543437,4.101722723543437,2.1017227235434373,2.1017227235434373,2.1017227235434373
APEUSDT,240,neutral,sell,1787023337750,1787023340110,0.1219,8.206811653671645,0.0,4.101722723543437,4.101722723543437,4.101722723543437,2.1017227235434373,2.1017227235434373,2.1017227235434373
ONEUSDT,10,all,sell,1787023291750,1787023294726,0.0006966,4.307559767392656,0.9999999999999989,-10.048808498420367,-10.048808498420367,-10.048808498421923,-12.048808498420367,-12.048808498420367,-12.048808498421923
ONEUSDT,10,all,sell,1787023358000,1787023358937,0.0006975,5.7364118743727195,-0.9999999999999857,-0.7168458781366067,-1.4336917562732134,-6.451612903226351,-2.7168458781366067,-3.4336917562732134,-8.451612903226351
ONEUSDT,10,protected,sell,1787023358000,1787023358937,0.0006975,5.7364118743727195,-0.9999999999999857,-0.7168458781366067,-1.4336917562732134,-6.451612903226351,-2.7168458781366067,-3.4336917562732134,-8.451612903226351
ONEUSDT,240,all,sell,1787023291500,1787023294726,0.0006966,4.307559767392656,0.9999999999999988,-10.048808498420367,-10.048808498420367,-10.048808498421923,-12.048808498420367,-12.048808498420367,-12.048808498421923
ONEUSDT,240,all,sell,1787023357750,1787023358937,0.0006975,5.7364118743727195,-0.5318646406846983,-0.7168458781366067,-1.4336917562732134,-6.451612903226351,-2.7168458781366067,-3.4336917562732134,-8.451612903226351
ONEUSDT,240,protected,sell,1787023357750,1787023358937,0.0006975,5.7364118743727195,-0.5318646406846983,-0.7168458781366067,-1.4336917562732134,-6.451612903226351,-2.7168458781366067,-3.4336917562732134,-8.451612903226351
