symbol,family,rid,latency,horizon_s,extra_stress_bps,train_mean_net_bps,train_n,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps
SOLUSDT,flow_accel,14,~250ms,60,2.0,-9.662746729146635,57,42,-0.15596777223326286,-12.155967772233263,0.0,-0.37459041499184104,-12.97205067596654,0.0,-2.6604944033038276,2.652188579065427
SOLUSDT,flow_accel,4,500ms,60,0.0,-9.706754113810542,61,200,0.08652281338789132,-9.913477186612107,0.005,0.43744344695993226,-10.301149502699632,0.0,-2.658408102461668,3.9662081853649664
SOLUSDT,flow_accel,4,500ms,60,1.0,-9.706754113810542,61,200,0.08652281338789132,-10.913477186612107,0.005,0.43744344695993226,-11.301149502699632,0.0,-2.658408102461668,3.9662081853649664
SOLUSDT,flow_accel,4,500ms,60,2.0,-9.706754113810542,61,200,0.08652281338789132,-11.913477186612107,0.005,0.43744344695993226,-12.301149502699632,0.0,-2.658408102461668,3.9662081853649664
SOLUSDT,flow_extreme,15,500ms,60,0.0,-9.741656029470178,787,842,0.03134485719297197,-9.968655142807028,0.011876484560570071,0.26269986938882495,-10.202518677802903,0.0,-3.9709854423468025,3.940369132220842
SOLUSDT,flow_extreme,15,500ms,60,1.0,-9.741656029470178,787,842,0.03134485719297197,-10.968655142807028,0.007125890736342043,0.26269986938882495,-11.202518677802903,0.0,-3.9709854423468025,3.940369132220842
SOLUSDT,flow_extreme,15,500ms,60,2.0,-9.741656029470178,787,842,0.03134485719297197,-11.968655142807028,0.0059382422802850355,0.26269986938882495,-12.202518677802903,0.0,-3.9709854423468025,3.940369132220842
SOLUSDT,flow_extreme,5,500ms,60,0.0,-9.743653331249448,788,1001,0.040770507990276185,-9.959229492009724,0.01098901098901099,0.3871914654727558,-10.16561367861201,0.0,-3.96536916173407,3.939334303454098
SOLUSDT,flow_extreme,5,500ms,60,1.0,-9.743653331249448,788,1001,0.040770507990276185,-10.959229492009724,0.006993006993006993,0.3871914654727558,-11.16561367861201,0.0,-3.96536916173407,3.939334303454098
SOLUSDT,flow_extreme,5,500ms,60,2.0,-9.743653331249448,788,1001,0.040770507990276185,-11.959229492009724,0.005994005994005994,0.3871914654727558,-12.16561367861201,0.0,-3.96536916173407,3.939334303454098
SOLUSDT,flow_extreme,10,500ms,60,0.0,-9.768360561830603,1704,1635,0.12689899197370183,-9.873101008026298,0.011009174311926606,1.4411469991916253,-10.045687166418169,0.0,-3.964111645048693,3.9844342641263157
SOLUSDT,flow_extreme,10,500ms,60,1.0,-9.768360561830603,1704,1635,0.12689899197370183,-10.8731010080263,0.00672782874617737,1.4411469991916253,-11.04568716641817,0.0,-3.964111645048693,3.9844342641263157
SOLUSDT,flow_extreme,10,500ms,60,2.0,-9.768360561830603,1704,1635,0.12689899197370183,-11.873101008026298,0.004892966360856269,1.4411469991916253,-12.045687166418169,0.0,-3.964111645048693,3.9844342641263157
SOLUSDT,momentum_cont,7,500ms,60,0.0,-9.552291635351166,317,143,0.23029727581829287,-9.769702724181707,0.03496503496503497,0.6894860393607275,-10.424368134118598,0.0,-3.982318738046924,3.998667448289363
SOLUSDT,momentum_cont,7,500ms,60,1.0,-9.552291635351166,317,143,0.23029727581829287,-10.769702724181707,0.013986013986013986,0.6894860393607275,-11.424368134118598,0.0,-3.982318738046924,3.998667448289363
SOLUSDT,momentum_cont,7,500ms,60,2.0,-9.552291635351166,317,143,0.23029727581829287,-11.769702724181707,0.013986013986013986,0.6894860393607275,-12.424368134118598,0.0,-3.982318738046924,3.998667448289363
SOLUSDT,momentum_cont,17,500ms,60,0.0,-9.552291635351166,317,138,0.1527494071516357,-9.847250592848365,0.036231884057971016,0.4472166190521094,-10.516699860301284,0.0,-3.9849663536923012,3.9943020518287558
SOLUSDT,momentum_cont,17,500ms,60,1.0,-9.552291635351166,317,138,0.1527494071516357,-10.847250592848365,0.014492753623188406,0.4472166190521094,-11.516699860301284,0.0,-3.9849663536923012,3.9943020518287558
SOLUSDT,momentum_cont,17,500ms,60,2.0,-9.552291635351166,317,138,0.1527494071516357,-11.847250592848365,0.014492753623188406,0.4472166190521094,-12.516699860301284,0.0,-3.9849663536923012,3.9943020518287558
SOLUSDT,momentum_cont,7,500ms,120,0.0,-9.626433069545401,298,139,-0.30788460307624155,-10.307884603076241,0.02158273381294964,-0.7100138893100654,-11.157802937231397,0.0,-6.622631439535214,6.602869032215445
SOLUSDT,momentum_cont,7,500ms,120,1.0,-9.626433069545401,298,139,-0.30788460307624155,-11.307884603076241,0.007194244604316547,-0.7100138893100654,-12.157802937231397,0.0,-6.622631439535214,6.602869032215445
